"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.487732155E2,6.507999539E1,2.545267287E1,9.040382416E0,2.653476605E1,1.458878724E0,8.654496172E1,2.657466586E-1,4.732982843E0,3.379853612E0,-1.000000000E0
1.497731994E2,6.507999850E1,2.545270372E1,8.874356989E0,2.636873789E1,1.459187430E0,8.589588095E1,2.671636170E-1,4.733886520E0,3.378587788E0,-1.000000000E0
1.507731826E2,6.507999907E1,2.545273394E1,8.547542728E0,2.604191998E1,1.441433895E0,8.519191227E1,2.684785497E-1,4.734540816E0,3.377670839E0,-1.000000000E0
1.517731675E2,6.508000980E1,2.545274572E1,7.746212857E0,2.524059283E1,1.163308899E0,5.998627452E1,2.706289429E-1,4.735081227E0,3.376913206E0,-1.000000000E0
1.527731528E2,6.508000094E1,2.545278651E1,8.051172964E0,2.554554422E1,1.361668365E0,9.069709925E1,2.726806769E-1,4.735079368E0,3.376915814E0,-1.000000000E0
1.537731379E2,6.507999751E1,2.545282953E1,7.914492752E0,2.540885714E1,1.704002257E0,9.466793378E1,2.741768963E-1,4.737660027E0,3.373294310E0,-1.000000000E0
1.547731229E2,6.508000896E1,2.545284628E1,7.172786223E0,2.466715298E1,1.366774035E0,7.133289789E1,2.753999131E-1,4.736058993E0,3.375541771E0,-1.000000000E0
1.557731091E2,6.508000745E1,2.545287214E1,6.302876395E0,2.379723924E1,1.092190241E0,7.974070817E1,2.770117586E-1,4.738287466E0,3.372412923E0,-1.000000000E0
1.567730951E2,6.508000922E1,2.545290629E1,6.609922245E0,2.410428141E1,1.274298659E0,8.128856568E1,2.787551728E-1,4.736097238E0,3.375488110E0,-1.000000000E0
1.577730817E2,6.508001048E1,2.545294338E1,6.449737588E0,2.394409250E1,1.482054100E0,8.042352956E1,2.811024984E-1,4.733085732E0,3.379709527E0,-1.000000000E0
1.587730675E2,6.508000740E1,2.545299294E1,4.923494973E0,2.241784231E1,1.659632687E0,8.725446826E1,2.821816908E-1,4.736912515E0,3.374343915E0,-1.000000000E0
1.597730546E2,6.508000568E1,2.545301561E1,4.771822387E0,2.226616614E1,1.461975440E0,9.044667713E1,2.841350392E-1,4.735722203E0,3.376014255E0,-1.000000000E0
1.607730414E2,6.508001291E1,2.545305360E1,4.664377809E0,2.215871955E1,1.767200629E0,7.962296810E1,2.855848155E-1,4.735089019E0,3.376902281E0,-1.000000000E0
1.617730296E2,6.508002318E1,2.545307267E1,4.518989068E0,2.201333241E1,1.464930714E0,6.439919267E1,2.869386422E-1,4.735628276E0,3.376146007E0,-1.000000000E0
1.627730165E2,6.508003026E1,2.545309618E1,3.752502212E0,2.124684533E1,1.343872647E0,6.217166418E1,2.880529323E-1,4.735620179E0,3.376157365E0,-1.000000000E0
1.637730048E2,6.508002890E1,2.545311974E1,3.428604719E0,2.092294428E1,1.161857193E0,7.499304429E1,2.890532922E-1,4.737031927E0,3.374176279E0,-1.000000000E0
1.647729924E2,6.508003376E1,2.545313772E1,4.279938770E0,2.177427794E1,1.078312817E0,7.091590259E1,2.902289884E-1,4.736608808E0,3.374770219E0,-1.000000000E0
1.657729807E2,6.508004426E1,2.545314063E1,5.784475442E0,2.327881837E1,1.041117344E0,4.545268006E1,2.914672057E-1,4.736673114E0,3.374679961E0,-1.000000000E0
1.667729695E2,6.508005409E1,2.545315305E1,6.155602746E0,2.364994796E1,1.192432228E0,3.783711115E1,2.922075419E-1,4.739625872E0,3.370531653E0,-1.000000000E0
1.677729567E2,6.508006023E1,2.545315917E1,5.836595661E0,2.333094251E1,9.607892807E-1,3.828443237E1,2.933284783E-1,4.739475767E0,3.370742720E0,-1.000000000E0
1.687729456E2,6.508005604E1,2.545313741E1,5.851064933E0,2.334541292E1,7.431334155E-2,1.464616756E1,2.943017941E-1,4.739735673E0,3.370377246E0,-1.000000000E0
1.697729338E2,6.508006113E1,2.545312051E1,7.249682123E0,2.474403428E1,3.953058359E-1,3.105942967E2,2.964869702E-1,4.741709516E0,3.367599724E0,-1.000000000E0
1.707729235E2,6.508007766E1,2.545314573E1,9.495609296E0,2.698996473E1,1.073342372E0,1.550433910E1,2.978267390E-1,4.744341300E0,3.363891000E0,-1.000000000E0
1.717729124E2,6.508007939E1,2.545317403E1,9.796103597E0,2.729045609E1,1.149739708E0,3.680753398E1,3.008129453E-1,4.749507589E0,3.356592722E0,-1.000000000E0
1.727729012E2,6.508010019E1,2.545321435E1,9.413596283E0,2.690795179E1,1.841428502E0,3.735971836E1,3.017868225E-1,4.787166129E0,3.302662181E0,-1.000000000E0
1.737728899E2,6.508010869E1,2.545321937E1,8.982105842E0,2.647646406E1,1.500281904E0,3.475975388E1,3.030141643E-1,4.792855841E0,3.294399782E0,-1.000000000E0
1.747728792E2,6.508011954E1,2.545322428E1,9.369789516E0,2.686415137E1,1.514797831E0,3.329023427E1,3.047593170E-1,4.906002284E0,3.231384706E0,-1.000000000E0
1.757728686E2,6.508013446E1,2.545323577E1,9.283073257E0,2.677743952E1,1.580838739E0,3.176997869E1,3.082966255E-1,5.698829923E0,3.121200249E0,-1.000000000E0
1.767728583E2,6.508015530E1,2.545317872E1,9.175031899E0,2.666941369E1,1.352864264E0,3.576333910E2,3.096410168E-1,5.233998652E0,2.965875190E0,-1.000000000E0
1.777728478E2,6.508016734E1,2.545317609E1,9.064827344E0,2.655921421E1,1.346311982E0,3.566001593E2,3.112018199E-1,5.972111798E0,2.587866759E0,-1.000000000E0
1.787916362E2,6.508018131E1,2.545317286E1,8.873556548E0,2.636794933E1,1.299157351E0,3.566010577E2,3.211641376E-1,6.462214342E0,2.427693714E0,-1.000000000E0
1.797728258E2,6.508009829E1,2.545325277E1,1.122425461E1,2.871860444E1,4.900000095E-1,4.148437500E1,3.211641376E-1,2.500384566E1,1.600000000E1,-1.000000000E0
1.807728163E2,6.508009829E1,2.545325277E1,1.122424895E1,2.871859878E1,4.900000095E-1,NaN,3.224475845E-1,2.500384566E1,1.600000000E1,-1.000000000E0
1.817728057E2,6.508010109E1,2.545322620E1,1.098076637E1,2.847512071E1,6.800000072E-1,NaN,3.244273935E-1,3.225536380E1,1.200000000E1,-1.000000000E0
1.827727948E2,6.508010725E1,2.545318656E1,1.110574157E1,2.860010343E1,6.800000072E-1,NaN,3.258124362E-1,3.616324370E1,1.200000000E1,-1.000000000E0
1.837727855E2,6.508011069E1,2.545315814E1,1.119465453E1,2.868902139E1,6.800000072E-1,NaN,3.269371292E-1,3.647579139E1,1.200000000E1,-1.000000000E0
1.847727752E2,6.508011312E1,2.545313484E1,1.119658477E1,2.869095557E1,6.499999762E-1,NaN,3.447479954E-1,3.943691708E1,1.200000000E1,-1.000000000E0
1.857727647E2,6.508027299E1,2.545315864E1,9.357808012E0,2.685223873E1,1.281854050E0,3.573280113E2,3.510436886E-1,1.497081548E1,2.124999260E0,-1.000000000E0
1.867727547E2,6.508032520E1,2.545321058E1,9.321490935E0,2.681593555E1,1.824536094E0,6.508368004E0,3.526583098E-1,1.630409571E1,2.173195581E0,-1.000000000E0
1.877727445E2,6.508033944E1,2.545321732E1,9.054209719E0,2.654865908E1,1.828466245E0,5.378632894E0,3.547668646E-1,1.845031714E1,2.221284123E0,-1.000000000E0
1.887727351E2,6.508035838E1,2.545321949E1,8.996755424E0,2.649121197E1,1.857315328E0,3.719618667E0,3.565464902E-1,2.080378264E1,2.268529855E0,-1.000000000E0
1.897727255E2,6.508037429E1,2.545322366E1,9.170575559E0,2.666503783E1,1.904102073E0,2.894104543E0,3.579617261E-1,2.338644401E1,2.314606846E0,-1.000000000E0
1.907916502E2,6.508038697E1,2.545322622E1,9.089666358E0,2.658413330E1,1.902817402E0,3.245974406E0,3.591299509E-1,2.614828380E1,2.360880647E0,-1.000000000E0
1.917927976E2,6.508039747E1,2.545322724E1,8.914070812E0,2.640854175E1,1.890096347E0,3.740182613E0,3.784680841E-1,2.727635534E1,2.410013831E0,-1.000000000E0
2.029738760E2,6.508057101E1,2.545325413E1,8.914071083E0,2.640860691E1,NaN,NaN,3.784736272E-1,6.249233717E1,2.410013914E0,-1.000000000E0
2.029773780E2,6.508057106E1,2.545325414E1,8.914071083E0,2.640860693E1,NaN,NaN,4.144445227E-1,6.249234072E1,2.410013914E0,-1.000000000E0
2.093499169E2,6.508024847E1,2.545319680E1,9.856422424E0,2.735083859E1,NaN,NaN,4.173689189E-1,3.500000000E1,1.683442116E1,-1.000000000E0
2.213456410E2,6.508022247E1,2.545318745E1,1.115897942E1,2.865338654E1,NaN,NaN,4.175315213E-1,3.500000000E1,2.201941681E1,-1.000000000E0
2.217995659E2,6.508022393E1,2.545318753E1,1.156434631E1,2.905875400E1,NaN,NaN,4.176087176E-1,3.500000000E1,1.808642769E1,-1.000000000E0
2.217995659E2,6.508022462E1,2.545318765E1,1.175359249E1,2.924800044E1,NaN,NaN,4.188374086E-1,3.500000000E1,1.548926258E1,-1.000000000E0
2.278326969E2,6.508021398E1,2.545318062E1,1.188322258E1,2.937762724E1,NaN,NaN,4.190425687E-1,3.500000000E1,1.921493149E1,-1.000000000E0
2.392164279E2,6.508021379E1,2.545317626E1,1.193272400E1,2.942712914E1,NaN,NaN,4.192545026E-1,3.500000000E1,2.223844337E1,-1.000000000E0
2.456446810E2,6.508021500E1,2.545317275E1,1.197541809E1,2.946982416E1,NaN,NaN,4.196107659E-1,3.500000000E1,2.124815750E1,-1.000000000E0
2.522326959E2,6.508021818E1,2.545317187E1,1.199200439E1,2.948641183E1,NaN,NaN,4.209594508E-1,3.500000000E1,2.105177879E1,-1.000000000E0
2.587150300E2,6.508020721E1,2.545318414E1,1.216631699E1,2.966071852E1,NaN,NaN,"",3.500000000E1,2.095856476E1,-1.000000000E0
