"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.463787917E-1,-6.364165649E0,5.664520569E0,6.325096893E0,1.061113794E1
6.563757918E-1,-6.556815033E0,5.285359039E0,6.696025543E0,1.075934950E1
6.663717917E-1,-6.915918274E0,4.691543884E0,6.642137604E0,1.067513473E1
6.763677917E-1,-7.345225525E0,4.348906403E0,6.599176941E0,1.078955334E1
6.863647917E-1,-7.301666107E0,4.232747955E0,6.375092926E0,1.057696994E1
6.963607917E-1,-6.906936951E0,4.367467804E0,5.864654388E0,1.005856472E1
7.063567917E-1,-6.152505798E0,4.657265167E0,5.430108032E0,9.435545542E0
7.163537918E-1,-5.475314026E0,4.924010468E0,5.193001099E0,9.010671627E0
7.263497917E-1,-4.898862762E0,4.871320038E0,4.846172333E0,8.438838875E0
7.363457917E-1,-4.485721893E0,4.261188812E0,4.178710327E0,7.465992968E0
7.463427917E-1,-4.167333984E0,3.536545715E0,3.996838531E0,6.771155469E0
7.563387917E-1,-3.392545166E0,2.709365845E0,4.157903595E0,6.011504661E0
7.663347917E-1,-2.671344910E0,2.235451355E0,5.152884521E0,6.219770517E0
7.763317918E-1,-1.966460724E0,1.929637299E0,6.410718842E0,6.977663215E0
7.863277917E-1,-1.085392914E0,1.486858063E0,7.305707703E0,7.534068603E0
7.963237917E-1,-2.215393066E-1,1.065634003E0,7.883805542E0,7.958583122E0
8.063207917E-1,7.592211914E-1,6.432124329E-1,7.988437958E0,8.050172672E0
8.163167917E-1,2.123334503E0,4.816983032E-1,7.982749786E0,8.274350538E0
8.263127917E-1,3.496279449E0,4.095483398E-1,8.308472443E0,9.023436937E0
8.363097917E-1,4.794978790E0,1.555265808E-1,8.634195099E0,9.877516648E0
8.463057918E-1,5.648204498E0,-2.101629639E-1,9.163943481E0,1.076681209E1
8.563017917E-1,6.016139374E0,-7.469467163E-1,1.002240829E1,1.171326301E1
8.662987917E-1,6.192472687E0,-1.277293854E0,1.091694809E1,1.261578191E1
8.762947917E-1,6.272556152E0,-1.518442383E0,1.182795364E1,1.347409052E1
8.862907917E-1,6.312822418E0,-1.479673004E0,1.279090118E1,1.434044324E1
8.962877917E-1,6.261179810E0,-1.094224548E0,1.358470047E1,1.499812611E1
9.062837918E-1,6.305487671E0,-2.722837830E-1,1.364906662E1,1.503763056E1
9.162797917E-1,6.563850403E0,8.460406494E-1,1.308264450E1,1.466136092E1
9.262767917E-1,6.947502594E0,1.986968079E0,1.250664230E1,1.444409693E1
9.362727917E-1,7.586374054E0,2.847528534E0,1.205982147E1,1.452930776E1
9.462687917E-1,7.793842621E0,3.581452332E0,1.210323120E1,1.483438536E1
9.562657917E-1,7.496860199E0,4.315825195E0,1.191866501E1,1.472697646E1
9.662617918E-1,6.920558624E0,4.860392761E0,1.162213165E1,1.437329098E1
9.762577917E-1,5.975573730E0,5.286855927E0,1.169188660E1,1.415480622E1
9.862547917E-1,5.084327087E0,5.701044617E0,1.198288147E1,1.421062068E1
9.962507917E-1,4.336033173E0,6.004463654E0,1.201865707E1,1.411746738E1
1.006246792E0,3.551215210E0,6.395001526E0,1.191043213E1,1.397732333E1
1.016243792E0,2.796634369E0,6.628964996E0,1.175340866E1,1.378067327E1
1.026239792E0,2.078278198E0,6.522985382E0,1.154923325E1,1.342584698E1
1.036235792E0,1.583556976E0,5.989045715E0,1.100825821E1,1.263162975E1
1.046232792E0,1.376537476E0,5.461542664E0,1.027493317E1,1.171740395E1
1.056228792E0,1.028511200E0,5.209466858E0,9.555828552E0,1.093207389E1
1.066224792E0,8.288264465E-1,4.944966888E0,8.881181488E0,1.019877617E1
1.076221792E0,2.815644836E-1,4.601431274E0,8.326584778E0,9.517587005E0
1.086217792E0,-6.056405640E-1,3.906875610E0,7.661517792E0,8.621446074E0
1.096213792E0,-1.482367401E0,2.888842621E0,6.921157379E0,7.644948938E0
1.106210792E0,-2.520758057E0,2.004331970E0,6.249953156E0,7.030894842E0
1.116206792E0,-3.664828949E0,1.500180359E0,5.554649048E0,6.821703481E0
1.126202792E0,-5.153632965E0,9.605525208E-1,4.660408630E0,7.014413909E0
1.136198792E0,-6.763535156E0,2.891986084E-1,3.448079681E0,7.597255895E0
1.146195792E0,-8.018824768E0,-1.182540894E-1,2.570005646E0,8.421428840E0
1.156191792E0,-9.143436127E0,-5.421725464E-1,2.303410034E0,9.444684911E0
1.166187792E0,-1.039333694E1,-1.587897949E0,1.206042023E0,1.058288288E1
1.176184792E0,-1.159384048E1,-2.495909729E0,6.039939880E-1,1.187482679E1
1.186180792E0,-1.252789810E1,-2.848576355E0,6.408174133E-1,1.286364121E1
1.196176792E0,-1.313488586E1,-2.782264252E0,8.020321655E-1,1.345025935E1
1.206173792E0,-1.399170410E1,-3.351680145E0,8.298742676E-1,1.441146192E1
1.216169792E0,-1.495584915E1,-3.718267822E0,1.197509766E0,1.545758613E1
1.226165792E0,-1.554682022E1,-3.227288818E0,1.990710297E0,1.600256041E1
1.236162792E0,-1.614692230E1,-3.005899200E0,2.806364136E0,1.666235906E1
1.246158792E0,-1.673564804E1,-3.202290802E0,3.371139679E0,1.736954704E1
1.256154792E0,-1.690314972E1,-3.013832703E0,3.885619812E0,1.760391148E1
1.266151792E0,-1.740999573E1,-3.699107666E0,4.038451996E0,1.825103951E1
1.276147792E0,-1.815574493E1,-4.612208862E0,4.450844421E0,1.925392326E1
1.286143792E0,-1.832055222E1,-4.454736328E0,4.924609222E0,1.948689522E1
1.296140792E0,-1.817056412E1,-4.000131683E0,5.287155304E0,1.934229731E1
1.306136792E0,-1.808434341E1,-3.829037476E0,5.757926331E0,1.936126856E1
1.316132792E0,-1.805066345E1,-3.760629730E0,6.132746887E0,1.943140168E1
1.326129792E0,-1.766955597E1,-3.742667084E0,5.962401123E0,1.902027845E1
1.336125792E0,-1.712274307E1,-3.849844208E0,5.520520020E0,1.839798283E1
1.346121792E0,-1.630514328E1,-3.920048218E0,4.959636383E0,1.748778055E1
1.356118792E0,-1.521091873E1,-3.918401642E0,4.578528900E0,1.636119944E1
1.366114792E0,-1.421069870E1,-3.795207825E0,4.623884583E0,1.541842627E1
1.376110792E0,-1.322065750E1,-3.640729065E0,5.076243896E0,1.462220725E1
1.386106792E0,-1.226998444E1,-3.584895172E0,5.867498474E0,1.406525968E1
1.396103792E0,-1.148666336E1,-3.654350739E0,6.434519348E0,1.366384842E1
1.406099792E0,-1.067460205E1,-3.673959961E0,6.636599121E0,1.309540219E1
1.416095792E0,-9.823771362E0,-3.648063812E0,6.603517914E0,1.238633530E1
1.426092792E0,-9.251062317E0,-3.539838867E0,6.452182617E0,1.182130592E1
1.436088792E0,-8.855884094E0,-3.432661743E0,6.248306580E0,1.136886911E1
1.446084792E0,-8.510103149E0,-3.307971039E0,5.964646454E0,1.090603206E1
1.456081792E0,-8.239765320E0,-3.181334381E0,5.431155853E0,1.036880296E1
1.466077792E0,-7.950267334E0,-3.070864105E0,4.731660461E0,9.748105855E0
1.476073792E0,-7.638166351E0,-2.860401764E0,3.988605652E0,9.079232264E0
1.486070792E0,-7.445966034E0,-2.630030823E0,3.613635406E0,8.684344141E0
1.496066792E0,-7.295977936E0,-2.434088287E0,3.507805481E0,8.453447765E0
1.506062792E0,-7.130422211E0,-2.274819489E0,3.336711273E0,8.194593750E0
1.516059792E0,-6.831044769E0,-2.239942017E0,3.115321655E0,7.834905353E0
1.526055792E0,-6.456972656E0,-2.378254395E0,2.766996002E0,7.416525920E0
1.536051792E0,-5.857918396E0,-2.595452728E0,2.386187897E0,6.837066292E0
1.546047792E0,-5.085823975E0,-2.858156433E0,2.525248718E0,6.357007534E0
1.556044792E0,-4.313130798E0,-3.125201111E0,2.962788849E0,6.094923874E0
1.566040792E0,-3.419339447E0,-3.344195709E0,3.703598328E0,6.049146036E0
1.576037167E0,-2.426603851E0,-3.542084198E0,4.705015869E0,6.369610745E0
1.586034167E0,-1.371897125E0,-3.881278839E0,5.300028534E0,6.710941038E0
1.596030167E0,-3.121009827E-1,-4.210594025E0,5.361400909E0,6.824304270E0
1.606026167E0,7.810757446E-1,-4.521347809E0,5.251230011E0,6.973383824E0
1.616023167E0,2.193987579E0,-4.833299103E0,4.924010468E0,7.240182373E0
1.626019167E0,3.824247437E0,-4.931195526E0,4.552932129E0,7.724684378E0
1.636015167E0,5.561834106E0,-4.787494354E0,4.365521851E0,8.538845463E0
1.646012167E0,7.403903503E0,-4.471202087E0,4.720583496E0,9.853595473E0
1.656008167E0,8.911717987E0,-3.959715729E0,5.746250610E0,1.131889845E1
1.666004167E0,9.801318054E0,-3.515738983E0,7.039411469E0,1.256899240E1
1.676000167E0,1.024993515E1,-3.306623840E0,8.117020569E0,1.348632473E1
1.685997167E0,1.032238449E1,-3.116668854E0,9.122479706E0,1.412391172E1
1.695993167E0,1.020607635E1,-2.846929779E0,9.952653351E0,1.453699806E1
1.705989167E0,1.005040009E1,-2.528392181E0,1.074884766E1,1.493121009E1
1.715986167E0,9.868528290E0,-2.155667267E0,1.160072617E1,1.538218449E1
1.725982167E0,9.490414581E0,-1.955234070E0,1.183573746E1,1.529626067E1
1.735978167E0,9.050778809E0,-1.686842194E0,1.152004395E1,1.474698092E1
1.745975167E0,8.819659424E0,-1.043779449E0,1.139984390E1,1.445103141E1
1.755971167E0,8.697663116E0,-1.097218323E-1,1.100436630E1,1.402702607E1
1.765967167E0,8.562344513E0,8.378077698E-1,1.054841446E1,1.361193274E1
1.775964167E0,8.335566101E0,1.501826935E0,1.042656784E1,1.343318515E1
1.785960167E0,8.255632324E0,1.794318695E0,1.057685532E1,1.353679848E1
1.795956167E0,7.975415039E0,1.831441498E0,1.103011276E1,1.373407480E1
1.805952167E0,7.580236816E0,1.811383209E0,1.177810730E1,1.412320470E1
