"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.685605083E0,-2.498773111E0,7.122623487E-1,-2.948084856E0,3.929680525E0
9.695595083E0,-9.722383274E-1,4.933278304E-1,-2.258022777E0,2.507446226E0
9.705585083E0,4.403353921E-1,2.638102173E-1,-1.759523084E0,1.832870037E0
9.715575083E0,1.618993588E0,1.869854050E-1,-1.216496844E0,2.033708030E0
9.725566083E0,2.298678029E0,1.983170897E-1,-1.018760968E0,2.522126931E0
9.735556083E0,2.430140394E0,1.725261909E-1,-1.280047892E0,2.752066537E0
9.745546083E0,2.276057783E0,2.268384920E-1,-2.094252791E0,3.101256114E0
9.755536083E0,2.070863052E0,4.962312654E-1,-2.978274615E0,3.661261931E0
9.765526083E0,1.613703320E0,7.894881338E-1,-3.516633607E0,3.948929202E0
9.775516083E0,1.144268967E0,9.788602261E-1,-3.725402010E0,4.018225846E0
9.785506083E0,8.798520277E-1,1.129949867E0,-3.694260909E0,3.962131996E0
9.795496083E0,7.941240987E-1,1.172157700E0,-3.554170393E0,3.825795857E0
9.805486083E0,8.275366969E-1,1.031181916E0,-3.150635329E0,3.416819590E0
9.815476083E0,1.022153669E0,8.539976867E-1,-2.273081696E0,2.634579771E0
9.825466083E0,1.188930731E0,6.708685935E-1,-1.427772533E0,1.975387395E0
9.835457083E0,1.328325721E0,5.045435210E-1,-7.914399344E-1,1.626465664E0
9.845447083E0,1.538446292E0,4.863991722E-1,-2.864211810E-1,1.638730680E0
9.855437083E0,1.722131894E0,4.756154448E-1,1.237206513E-1,1.790881099E0
9.865427083E0,1.840350023E0,5.681558186E-1,4.936850953E-1,1.988319445E0
9.875417083E0,1.779091376E0,5.178302953E-1,8.647710353E-1,2.044784410E0
9.885407083E0,1.712936124E0,3.945733282E-1,1.347431206E0,2.214815823E0
9.895397083E0,1.664824065E0,3.528873584E-1,2.070442345E0,2.680093311E0
9.905387083E0,1.712483842E0,2.732776634E-1,2.802240679E0,3.295426287E0
9.915377083E0,1.801938787E0,1.968188868E-1,3.544345901E0,3.980968341E0
9.925367083E0,1.807537057E0,1.600792229E-1,4.141539577E0,4.521633072E0
9.935357083E0,1.739421380E0,1.245718597E-1,4.557103533E0,4.879374703E0
9.945347083E0,1.728500097E0,3.423356192E-1,4.742378992E0,5.059156527E0
9.955338083E0,1.877021129E0,8.232904489E-1,4.595690478E0,5.032036014E0
9.965328083E0,1.973391721E0,1.183331145E0,3.833139297E0,4.470738681E0
9.975318083E0,2.128333580E0,1.486107134E0,3.044773829E0,4.001120582E0
9.985308083E0,2.112209006E0,1.761289674E0,2.458743657E0,3.689036266E0
9.995298083E0,1.529360450E0,1.578359240E0,2.161958286E0,3.082892296E0
1.000528808E1,5.354998501E-1,1.045333786E0,2.325270435E0,2.605065336E0
1.001527808E1,-3.065354566E-1,5.382731844E-1,3.075762318E0,3.137517465E0
1.002526808E1,-6.268035378E-1,2.811180487E-2,4.226501375E0,4.272819540E0
1.003525808E1,-4.964322634E-1,-5.965784030E-1,5.121515379E0,5.179987506E0
1.004524808E1,-7.038658932E-2,-1.070514674E0,5.373288884E0,5.479342056E0
1.005523808E1,3.565522470E-1,-1.453576296E0,4.972420151E0,5.192781115E0
1.006522808E1,4.751250096E-1,-1.761049792E0,3.821344879E0,4.234349634E0
1.007521908E1,4.511581497E-1,-1.659859778E0,2.836878415E0,3.317613194E0
1.008520908E1,-1.261449069E-2,-1.443385184E0,2.000819548E0,2.467143850E0
1.009519908E1,-7.744498260E-1,-1.366361128E0,1.250974367E0,2.007897440E0
1.010518908E1,-1.346052432E0,-1.317663031E0,5.619150853E-1,1.965665682E0
1.011517908E1,-1.564962977E0,-1.350687081E0,3.659772277E-2,2.067559940E0
1.012516908E1,-1.547666620E0,-1.434531768E0,-3.320089978E-1,2.136207700E0
1.013515908E1,-1.263966734E0,-1.539133925E0,-4.142939401E-1,2.034252839E0
1.014514908E1,-9.494509971E-1,-1.602868429E0,-4.241786581E-1,1.910646993E0
1.015513908E1,-6.521576495E-1,-1.604835140E0,-5.244817954E-1,1.809941044E0
1.016512908E1,-3.542444971E-1,-1.557287191E0,-8.649417740E-1,1.816248009E0
1.017511908E1,-1.141959755E-1,-1.517345299E0,-1.269065067E0,1.981389316E0
1.018510908E1,1.142681886E-1,-1.444649059E0,-1.677779594E0,2.216982745E0
1.019509908E1,1.341023827E-1,-1.387495158E0,-2.190652328E0,2.596552307E0
1.020509008E1,5.270548627E-2,-1.285087900E0,-2.788342432E0,3.070681081E0
1.021508008E1,1.033828658E-1,-1.031869987E0,-3.321854668E0,3.479965822E0
1.022507008E1,7.186754286E-2,-6.975213718E-1,-3.795463348E0,3.859694681E0
1.023506008E1,-1.428391461E-1,-3.409841815E-1,-4.104699195E0,4.121313955E0
1.024505008E1,-4.465217462E-1,3.509542689E-2,-4.257308015E0,4.280804235E0
1.025504008E1,-6.486573601E-1,3.405675673E-1,-4.227836294E0,4.290844016E0
1.026503008E1,-7.675663376E-1,4.933031259E-1,-3.917999353E0,4.022837927E0
1.027502008E1,-9.658866432E-1,4.583005236E-1,-3.478293999E0,3.638887951E0
1.028501008E1,-9.311230458E-1,3.943965961E-1,-2.875046116E0,3.047692400E0
1.029500008E1,-5.865477969E-1,2.985044521E-1,-2.104640370E0,2.205142697E0
1.030499046E1,-2.561070223E-1,6.310665965E-2,-1.472085657E0,1.495529819E0
1.031498046E1,-4.354962364E-2,-1.227248704E-1,-1.054161181E0,1.062174072E0
1.032497146E1,1.040150960E-1,-2.688409424E-1,-7.482044524E-1,8.018132545E-1
1.033496146E1,2.735285090E-1,-3.096410590E-1,-3.820132166E-1,5.626984346E-1
1.034495146E1,2.206946763E-1,-3.174321815E-1,1.779342806E-1,4.255936304E-1
1.035494146E1,-3.333088338E-2,-4.107455572E-1,7.787725264E-1,8.810842800E-1
1.036493146E1,-5.671416190E-1,-5.363396564E-1,1.175362267E0,1.410952268E0
1.037492146E1,-1.346478694E0,-5.925413391E-1,1.333643471E0,1.985627110E0
1.038491146E1,-1.903946241E0,-5.102271608E-1,1.234476448E0,2.325784845E0
1.039490146E1,-2.049057323E0,-3.504578403E-1,9.424764383E-1,2.282480766E0
1.040489146E1,-1.806689357E0,-2.380430728E-2,6.092833793E-1,1.906808673E0
1.041488146E1,-1.359934453E0,6.335203806E-1,3.966733557E-1,1.551811696E0
1.042487146E1,-1.230227130E0,1.215704839E0,6.534906685E-2,1.730799684E0
1.043486146E1,-1.646950734E0,1.205399414E0,-6.047693288E-1,2.128656950E0
1.044485146E1,-2.128517621E0,1.189844943E0,-1.185823520E0,2.711548575E0
1.045484246E1,-2.490643434E0,1.263188323E0,-1.442528567E0,3.143220979E0
1.046483246E1,-2.963407484E0,3.584767118E-1,-1.219784734E0,3.224618468E0
1.047482246E1,-3.350833468E0,-1.146735761E0,-1.720467192E-1,3.545798628E0
1.048481246E1,-3.075654729E0,-2.372742517E0,1.662647585E0,4.225394189E0
1.049480246E1,-1.933382294E0,-3.402379306E0,3.575846021E0,5.301021298E0
1.050479246E1,-1.991912484E-1,-3.867594893E0,5.124839521E0,6.423546335E0
1.051478246E1,1.402830358E0,-3.721189676E0,5.948697004E0,7.155569974E0
1.052477246E1,2.594979689E0,-3.234045861E0,5.370162377E0,6.784660358E0
1.053476246E1,2.926775263E0,-2.685247250E0,3.469934235E0,5.274183332E0
1.054475246E1,2.355958815E0,-1.956663129E0,8.450214797E-1,3.176969286E0
1.055474246E1,1.110893791E0,-1.114878230E0,-1.611221323E0,2.252348249E0
1.056473246E1,-6.963805801E-1,-2.297004117E-1,-3.495939142E0,3.572016052E0
1.057472246E1,-2.542080513E0,6.909628424E-1,-3.913239720E0,4.717313652E0
1.058471346E1,-4.200342686E0,1.202577255E0,-3.425394239E0,5.551792182E0
1.059470346E1,-5.217703246E0,1.365627594E0,-2.947920549E0,6.146511324E0
1.060469346E1,-5.105893958E0,1.256096966E0,-2.228245831E0,5.710780348E0
1.061468346E1,-3.888714159E0,9.807629831E-1,-1.046592545E0,4.144797919E0
1.062467346E1,-2.032338379E0,5.834256761E-1,-1.133623087E-1,2.117459756E0
1.063466346E1,-1.593724407E-1,3.203544737E-1,2.889337295E-1,4.599013631E-1
1.064465346E1,1.274156676E0,1.420956726E-1,3.443442839E-1,1.327493654E0
1.065464346E1,2.108190653E0,6.239505351E-2,5.731861782E-1,2.185612813E0
1.066463346E1,2.298062171E0,4.678064883E-2,7.353452557E-1,2.413298741E0
1.067462346E1,2.199899991E0,7.670874506E-2,9.154997241E-1,2.384026835E0
1.068461346E1,2.077906754E0,1.904028833E-1,9.930454981E-1,2.310863280E0
1.069460346E1,1.929714774E0,2.080230291E-1,5.940110368E-1,2.029759050E0
1.070459346E1,1.827429577E0,2.693598828E-1,1.408301890E-2,1.847228177E0
1.071458346E1,1.900987258E0,3.445908903E-1,-8.639547640E-1,2.116344317E0
1.072457446E1,2.075874408E0,3.870017686E-1,-2.113174966E0,2.987395749E0
1.073456446E1,2.338261778E0,5.634179659E-1,-3.074560130E0,3.903566055E0
1.074455446E1,2.576250764E0,8.233313794E-1,-3.759575477E0,4.631344333E0
1.075454446E1,2.615905119E0,9.976991509E-1,-4.097426428E0,4.962586677E0
1.076453446E1,2.588227324E0,1.212471036E0,-4.082956908E0,4.983928552E0
1.077452446E1,2.415624096E0,1.413120873E0,-3.881004020E0,4.784803296E0
1.078451446E1,1.972148749E0,1.513791800E0,-3.580700964E0,4.359169152E0
1.079450446E1,1.441980536E0,1.529499175E0,-3.275552906E0,3.892033200E0
1.080449446E1,1.074276626E0,1.525682405E0,-2.704487513E0,3.285731239E0
1.081448446E1,8.961721914E-1,1.341161236E0,-1.921417283E0,2.508721274E0
1.082447446E1,7.192569342E-1,9.150065115E-1,-9.526459157E-1,1.504028489E0
1.083446446E1,7.009650895E-1,4.845336181E-1,3.144445467E-1,9.082952475E-1
1.084445446E1,9.134168728E-1,1.400785294E-1,1.592842355E0,1.841493727E0
1.085444446E1,1.532743941E0,5.735884666E-2,2.633057926E0,3.047226291E0
1.086443546E1,2.263822484E0,1.642111579E-1,3.242464682E0,3.957958408E0
1.087442546E1,2.651036360E0,1.915243793E-1,3.397988339E0,4.314046838E0
1.088441546E1,2.781776009E0,3.244093716E-1,3.404761754E0,4.408619036E0
1.089440546E1,2.715841928E0,7.687059599E-1,3.197698399E0,4.265205890E0
1.090439546E1,2.302231382E0,1.083221258E0,2.666371853E0,3.685536119E0
1.091438546E1,1.627530377E0,1.481310809E0,2.218817781E0,3.125106268E0
1.092437546E1,7.141895910E-1,1.926773332E0,2.222552397E0,3.026922762E0
1.093436546E1,-4.357911553E-1,1.780014944E0,2.840883173E0,3.380678088E0
1.094435546E1,-1.487006874E0,1.294634941E0,3.894672471E0,4.365288391E0
1.095434546E1,-2.127331952E0,5.657780483E-1,5.269506653E0,5.710809610E0
1.096433546E1,-2.127320112E0,-3.903580704E-1,6.729160545E0,7.068201463E0
1.097432546E1,-1.648006303E0,-1.264779350E0,7.636622102E0,7.914138532E0
1.098431546E1,-9.138258856E-1,-1.805925710E0,7.564293213E0,7.830388064E0
1.099430546E1,-4.234992117E-2,-1.740656751E0,6.458801665E0,6.689379522E0
1.100429546E1,7.327984279E-1,-1.319008183E0,4.722513077E0,4.957711759E0
1.101428646E1,1.148759409E0,-8.895483193E-1,2.718471714E0,3.082374547E0
1.102427646E1,1.205410158E0,-3.597747937E-1,9.991412205E-1,1.606466535E0
1.103426646E1,9.408020881E-1,2.045297563E-1,-4.959871441E-1,1.083025502E0
1.104425646E1,4.538075231E-1,7.056890550E-1,-1.829888477E0,2.013064865E0
1.105424646E1,-9.457871318E-3,1.035656205E0,-2.816903157E0,3.001269169E0
1.106423646E1,-3.644040343E-1,1.014224990E0,-3.299268043E0,3.470822993E0
1.107422646E1,-5.011835647E-1,6.320807961E-1,-3.109102557E0,3.212044490E0
1.108421646E1,-3.213064004E-1,1.237490103E-2,-2.594010805E0,2.613863615E0
1.109420646E1,2.759651899E-1,-4.816075252E-1,-1.843379173E0,1.925136195E0
1.110419646E1,9.473426373E-1,-9.527520427E-1,-1.367052707E0,1.916775321E0
1.111418646E1,1.499217322E0,-1.284514288E0,-8.841738510E-1,2.163190453E0
1.112417646E1,1.929234718E0,-1.498017620E0,-4.646495765E-1,2.486343222E0
1.113416646E1,2.114419546E0,-1.654090769E0,-4.739524966E-1,2.726062592E0
1.114415646E1,1.955130574E0,-1.752811504E0,-7.161587870E-1,2.721721356E0
1.115414646E1,1.602961692E0,-1.662657671E0,-1.242369019E0,2.622479266E0
1.116413746E1,1.178301370E0,-1.531276436E0,-1.896415173E0,2.707321952E0
1.117412746E1,6.011877631E-1,-1.336354533E0,-2.776325235E0,3.139307563E0
1.118411746E1,-6.378581375E-3,-1.029983821E0,-3.716545817E0,3.856633269E0
1.119410746E1,-3.742959152E-1,-6.487576398E-1,-4.595795143E0,4.656427483E0
1.120409746E1,-5.324519889E-1,-3.288303052E-1,-5.228375584E0,5.265695181E0
1.121408746E1,-5.427736402E-1,-5.557851568E-2,-5.501148779E0,5.528139839E0
1.122407746E1,-4.358134478E-1,4.713075086E-2,-5.256484904E0,5.274731103E0
1.123406746E1,-4.204441877E-1,9.542378202E-2,-4.843917062E0,4.863066061E0
1.124405746E1,-4.224119219E-1,1.560934684E-1,-4.252481139E0,4.276259211E0
1.125404746E1,-4.963027476E-1,2.307896018E-2,-3.526663921E0,3.561489501E0
1.126403746E1,-6.690106407E-1,-1.854456139E-1,-2.622969725E0,2.713288686E0
1.127402746E1,-9.559091006E-1,-4.245911792E-1,-1.219345023E0,1.606499973E0
1.128401746E1,-1.248847003E0,-6.845773906E-1,2.746910816E-1,1.450420709E0
1.129400746E1,-1.633559295E0,-1.029438276E0,1.627803442E0,2.525470883E0
1.130399746E1,-1.988546096E0,-1.408309199E0,2.604806519E0,3.566884828E0
1.131398804E1,-2.221065450E0,-1.656163900E0,3.010899739E0,4.091641216E0
1.132397804E1,-2.181117858E0,-1.604918317E0,2.805485884E0,3.899203631E0
1.133396804E1,-2.001947768E0,-1.325460585E0,2.055467625E0,3.160630916E0
1.134395804E1,-1.861057937E0,-9.290331048E-1,1.159889365E0,2.381592428E0
1.135394804E1,-1.730388455E0,-3.693367454E-1,4.320419937E-1,1.821349533E0
1.136393804E1,-1.388172850E0,3.596256897E-1,9.076340497E-2,1.436868990E0
1.137392804E1,-9.809350374E-1,1.046497820E0,3.900268257E-2,1.434891091E0
1.138391804E1,-8.433149698E-1,1.383663477E0,7.127171159E-3,1.620418327E0
1.139390804E1,-7.062224673E-1,1.621782272E0,-2.568126351E-1,1.787422904E0
1.140389804E1,-6.320289020E-1,1.797592259E0,-7.695754409E-1,2.055004823E0
1.141388804E1,-7.294009763E-1,1.477760965E0,-1.248978127E0,2.067788581E0
1.142387804E1,-9.514872900E-1,4.825411794E-1,-1.037818798E0,1.488368876E0
1.143386804E1,-1.114562041E0,-8.327569449E-1,1.219314033E-1,1.396638801E0
1.144385804E1,-9.474211362E-1,-2.157477126E0,2.016464358E0,3.101361454E0
1.145384804E1,-1.245703979E-1,-3.171380081E0,4.417658549E0,5.439565834E0
1.146383804E1,1.031381890E0,-3.689373221E0,6.832818815E0,7.833430687E0
1.147382904E1,1.873649916E0,-3.790040640E0,8.174983433E0,9.203549652E0
1.148381904E1,2.151379504E0,-3.596256312E0,7.651371703E0,8.723816950E0
1.149380904E1,1.760835346E0,-2.948300033E0,5.326447424E0,6.337511843E0
1.150379904E1,9.937059411E-1,-1.842576497E0,2.567305986E0,3.312642400E0
1.151378904E1,-9.454246044E-2,-6.306578761E-1,1.127120984E-1,6.475891064E-1
1.152377904E1,-1.468758884E0,2.964358534E-1,-1.872760262E0,2.398407362E0
1.153376904E1,-2.599365100E0,8.238854031E-1,-3.198671960E0,4.203211676E0
1.154375904E1,-3.272938031E0,1.079738802E0,-3.845763436E0,5.164092916E0
1.155374904E1,-3.086998620E0,1.081147104E0,-3.376274119E0,4.700815511E0
1.156373904E1,-2.171161657E0,8.439014456E-1,-2.267820371E0,3.251018583E0
1.157372904E1,-8.172138762E-1,5.554637061E-1,-1.058567643E0,1.448082837E0
1.158371904E1,5.848866029E-1,3.750333222E-1,8.244574070E-3,6.948455253E-1
1.159370904E1,1.552971361E0,2.888514300E-1,6.624456793E-1,1.712889218E0
1.160369904E1,2.008965450E0,2.526326799E-1,7.642322552E-1,2.164212649E0
1.161368904E1,2.101121077E0,3.155184609E-1,1.326125121E-1,2.128813697E0
1.162367904E1,1.922681158E0,5.015779594E-1,-1.331545490E0,2.391923218E0
1.163367004E1,1.637452079E0,7.899697982E-1,-3.181348999E0,3.664189275E0
1.164366004E1,1.178875859E0,1.079814378E0,-4.921362264E0,5.174510016E0
1.165365004E1,7.084318377E-1,1.358159092E0,-6.167757091E0,6.355131731E0
1.166364004E1,4.245846011E-1,1.644718706E0,-7.069362077E0,7.270574384E0
1.167363004E1,2.787796010E-1,1.743277765E0,-7.230217810E0,7.442632935E0
1.168362004E1,2.380622225E-1,1.606473092E0,-6.714355395E0,6.907966255E0
1.169361004E1,3.957807782E-1,1.359367273E0,-5.818128678E0,5.987916426E0
1.170360004E1,6.389986369E-1,1.137132586E0,-4.706934341E0,4.884323972E0
1.171359004E1,6.825937226E-1,9.328991376E-1,-3.605465677E0,3.786240581E0
1.172358004E1,5.649901360E-1,7.985780691E-1,-2.672954063E0,2.846335225E0
1.173357004E1,3.108954330E-1,6.760419175E-1,-1.893871635E0,2.034806726E0
1.174356004E1,9.329364136E-2,6.014302763E-1,-1.439775698E0,1.563130238E0
1.175355004E1,1.375259274E-1,7.273680456E-1,-1.128024378E0,1.349228169E0
1.176354004E1,4.680397922E-1,7.982691899E-1,-1.120900716E0,1.453517582E0
1.177353004E1,6.049956161E-1,7.689132437E-1,-9.446270442E-1,1.359988060E0
1.178352004E1,6.550419348E-1,7.543373045E-1,-4.280436677E-1,1.086888259E0
1.179351004E1,1.145211538E0,6.974273778E-1,4.897662914E-1,1.427510222E0
1.180350104E1,1.321801398E0,6.540613568E-1,2.009180481E0,2.492340547E0
1.181349104E1,1.612751686E0,5.448131490E-1,3.697466353E0,4.070509402E0
1.182348104E1,1.893373890E0,3.643878083E-1,4.983608213E0,5.343593733E0
1.183347104E1,2.079166683E0,2.909192978E-1,5.750517908E0,6.121766440E0
1.184346104E1,2.265132845E0,6.125706840E-1,5.996931270E0,6.439662593E0
1.185345104E1,2.414414015E0,1.209123359E0,5.604349796E0,6.220941325E0
1.186344104E1,2.305098564E0,1.544734388E0,4.733139807E0,5.486555946E0
1.187343104E1,2.126520797E0,1.834837561E0,3.643831598E0,4.600676938E0
1.188342104E1,1.821627677E0,2.010864333E0,2.862909050E0,3.944382206E0
1.189341104E1,1.217363694E0,1.556339211E0,2.980234601E0,3.575746689E0
1.190340104E1,3.680222914E-1,4.369102393E-1,4.217371532E0,4.255884586E0
1.191339104E1,-2.009840047E-1,-5.627089910E-1,6.528745474E0,6.556031837E0
1.192338104E1,-6.851898864E-1,-1.571307498E0,8.866659343E0,9.030843833E0
1.193337104E1,-5.111855194E-1,-2.390897829E0,1.042846117E1,1.071123267E1
1.194336104E1,-7.343181923E-1,-2.914765667E0,1.083077767E1,1.124014355E1
1.195335104E1,-5.805612713E-2,-3.012602156E0,9.615923896E0,1.007696059E1
1.196334104E1,5.147299553E-1,-2.320635054E0,7.385162008E0,7.758280213E0
1.197333204E1,8.344776343E-1,-1.453346062E0,4.653132940E0,4.945726828E0
1.198332204E1,3.947203857E-1,-9.524453562E-1,1.836560735E0,2.106160410E0
1.199331204E1,-2.059156926E-1,-3.621119258E-1,-4.434019643E-1,6.083844354E-1
1.200330204E1,-5.865745479E-1,1.746648100E-1,-2.338658220E0,2.417415927E0
1.201329204E1,-8.918876441E-1,4.565872894E-1,-3.657840357E0,3.792589036E0
1.202328204E1,-1.020758815E0,4.227629010E-1,-3.773371983E0,3.931795156E0
1.203327204E1,-1.125799221E0,-4.093401790E-2,-3.211191434E0,3.403064781E0
1.204326204E1,-7.998491076E-1,-6.001396497E-1,-2.639232001E0,2.822316735E0
1.205325204E1,-5.560348329E-1,-1.096607289E0,-2.027638972E0,2.371295444E0
1.206324204E1,-2.362874463E-1,-1.506932577E0,-1.530742001E0,2.160983254E0
1.207323204E1,4.012914866E-2,-1.842133424E0,-1.225547165E0,2.212923802E0
1.208322204E1,1.373069492E-1,-1.979050072E0,-1.262997411E0,2.351734433E0
1.209321204E1,1.478762300E-1,-1.949721023E0,-1.563095230E0,2.503307041E0
1.210320204E1,6.282833219E-2,-1.764102477E0,-2.136355083E0,2.771284538E0
1.211319204E1,-7.418888748E-2,-1.445428786E0,-2.963681719E0,3.298208255E0
1.212318204E1,-2.193600494E-1,-1.067164219E0,-3.997718537E0,4.143514427E0
1.213317204E1,-3.462142235E-1,-7.333058931E-1,-5.044098244E0,5.108867674E0
1.214316204E1,-3.270708780E-1,-4.319824983E-1,-5.992735308E0,6.017180462E0
1.215315304E1,-4.198344693E-1,5.823534429E-3,-6.404184578E0,6.417933858E0
1.216314304E1,-4.427960466E-1,3.184675772E-1,-6.592727462E0,6.615250965E0
1.217313304E1,-5.425980775E-1,4.451435575E-1,-6.576231297E0,6.613575700E0
1.218312304E1,-7.294677807E-1,4.755242282E-1,-5.982268208E0,6.045310533E0
1.219311304E1,-8.335556746E-1,3.935063575E-1,-4.816846207E0,4.904250167E0
1.220310304E1,-6.706735888E-1,1.890627015E-1,-3.622428449E0,3.688839335E0
1.221309304E1,-5.710120372E-1,-1.464633965E-1,-2.672924243E0,2.737157336E0
1.222308304E1,-4.742629838E-1,-4.622760455E-1,-1.726830717E0,1.849477992E0
1.223307304E1,-3.062413417E-1,-5.645257209E-1,-7.684399116E-1,1.001485370E0
1.224306304E1,-2.306823054E-1,-6.458542049E-1,-1.253724897E-1,6.971802071E-1
1.225305304E1,-1.239748590E-1,-7.212483497E-1,3.311979890E-1,8.032814298E-1
1.226304304E1,-2.275408888E-1,-8.545541954E-1,6.380253679E-1,1.090465084E0
1.227303304E1,-6.818385547E-1,-7.972494355E-1,7.115552741E-1,1.267604586E0
1.228302304E1,-9.760282002E-1,-4.595642531E-1,8.647499853E-1,1.382614512E0
1.229301304E1,-9.918263537E-1,-2.659214276E-1,1.110813684E0,1.512726268E0
1.230300304E1,-7.182197843E-1,-1.670546588E-1,1.610061235E0,1.770887941E0
1.231299329E1,-1.233458447E-1,-1.768504992E-1,2.238070908E0,2.248433162E0
1.232298329E1,5.948172216E-1,-6.001026660E-2,2.989494252E0,3.048685724E0
1.233297429E1,1.054727776E0,2.289342803E-1,3.572025450E0,3.731518110E0
1.234296429E1,6.374564338E-1,1.631025258E-1,3.569960214E0,3.630092157E0
1.235295429E1,-2.691835892E-1,3.159045964E-2,2.957856138E0,2.970247581E0
1.236294429E1,-1.394427032E0,2.848266453E-2,1.887458993E0,2.346857358E0
1.237293429E1,-2.335004295E0,-2.156014591E-2,1.080674211E0,2.573046180E0
1.238292429E1,-2.914931435E0,-3.711528906E-1,1.093310629E0,3.135268389E0
1.239291429E1,-3.048409628E0,-9.772847669E-1,1.837558855E0,3.691139298E0
1.240290429E1,-2.803106652E0,-1.853429952E0,2.869627501E0,4.418978557E0
1.241289429E1,-2.046018086E0,-2.567317681E0,3.847943863E0,5.058061096E0
1.242288429E1,-8.111625928E-1,-2.621040144E0,4.357170857E0,5.149055648E0
1.243287429E1,2.308090438E-1,-2.176941922E0,3.950639096E0,4.516624648E0
1.244286429E1,5.206650254E-1,-1.681853788E0,2.711043411E0,3.232565639E0
1.245285429E1,2.029401907E-1,-1.174088012E0,1.096602611E0,1.619322287E0
1.246284429E1,-3.273002350E-1,-4.872556432E-1,-8.040710896E-1,9.955269071E-1
1.247283429E1,-1.190062459E0,1.911536658E-1,-2.593624304E0,2.860013184E0
1.248282429E1,-2.288879411E0,7.656678928E-1,-4.186385967E0,4.832291770E0
1.249281429E1,-3.087053291E0,1.244486589E0,-5.273182213E0,6.235791493E0
1.250280429E1,-3.289366953E0,1.406420694E0,-5.429974716E0,6.502505635E0
1.251279429E1,-2.996556227E0,1.250310562E0,-4.527178068E0,5.571172855E0
1.252278529E1,-2.024162948E0,9.416496420E-1,-3.364444617E0,4.037750273E0
1.253277529E1,-6.998960723E-1,6.045678923E-1,-2.149773273E0,2.340273910E0
1.254276529E1,6.413702676E-1,4.243401875E-1,-7.169773972E-1,1.051416665E0
1.255275529E1,1.545026895E0,2.482861521E-1,4.840939075E-1,1.638017409E0
1.256274529E1,2.305730356E0,1.572218348E-1,9.308007181E-1,2.491485732E0
1.257273529E1,2.365407185E0,1.326611171E-1,8.562434560E-1,2.519107576E0
1.258272529E1,2.372973628E0,3.343044685E-1,7.674295127E-2,2.397634834E0
1.259271529E1,2.397089592E0,5.610157835E-1,-1.289183582E0,2.778987501E0
1.260270529E1,2.139279129E0,7.480476008E-1,-2.712226303E0,3.534439407E0
1.261269529E1,1.882919654E0,9.955705451E-1,-3.849321467E0,4.399297999E0
1.262268529E1,1.768587730E0,1.139249059E0,-4.564034237E0,5.025554646E0
1.263267529E1,1.533146084E0,1.409658444E0,-4.616235255E0,5.064316516E0
1.264266529E1,1.588561170E0,1.533432012E0,-4.572621458E0,5.077775825E0
1.265265529E1,1.650706109E0,1.281088404E0,-4.228756646E0,4.716821062E0
1.266264529E1,1.703126689E0,1.146192408E0,-3.580637230E0,4.127391492E0
1.267263529E1,1.693104415E0,1.056484426E0,-2.641919382E0,3.310966615E0
1.268262529E1,1.468931523E0,9.810625067E-1,-1.729085988E0,2.471837740E0
1.269261529E1,9.969457372E-1,8.327737556E-1,-7.135181844E-1,1.482066507E0
1.270260529E1,5.575002913E-1,6.749927808E-1,4.173052561E-1,9.698275650E-1
1.271259529E1,5.484379841E-1,5.562130268E-1,1.319195586E0,1.533112568E0
1.272258629E1,8.632319020E-1,3.399100479E-1,2.177308981E0,2.366724014E0
1.273257629E1,1.228002995E0,-7.735186569E-2,2.934422836E0,3.181950982E0
1.274256629E1,1.735929861E0,-4.380524198E-1,3.497847673E0,3.929412265E0
1.275255629E1,2.253059075E0,-6.544168675E-1,4.103995775E0,4.727294993E0
1.276254629E1,2.643179164E0,-7.236924127E-1,4.760931038E0,5.493322415E0
1.277253629E1,2.955740030E0,-6.036414009E-1,5.161544248E0,5.978488194E0
1.278252629E1,2.920991197E0,-5.605190626E-1,5.347908459E0,6.119354221E0
1.279251629E1,2.556656745E0,-3.016789055E-1,5.156775844E0,5.763665585E0
1.280250629E1,2.086415914E0,1.652525470E-2,4.906972851E0,5.332146567E0
1.281249629E1,1.583230409E0,4.103937010E-1,4.580158519E0,4.863424059E0
1.282248629E1,9.589977461E-1,6.408887494E-1,4.277261639E0,4.430054423E0
1.283247629E1,3.564285783E-1,1.028637207E0,4.062095212E0,4.205443300E0
1.284246629E1,-1.553437091E-1,1.416468550E0,3.751975851E0,4.013457064E0
1.285245629E1,-6.333721536E-1,1.287021136E0,3.573254535E0,3.850419673E0
1.286244629E1,-8.931845565E-1,8.870223221E-1,3.779673527E0,3.983782025E0
1.287243629E1,-7.566332138E-1,3.435686508E-1,4.183840089E0,4.265565746E0
1.288242629E1,-3.221954696E-1,-3.038455912E-1,4.539212807E0,4.560765831E0
1.289241629E1,1.009258658E-1,-9.340731123E-1,4.807000666E0,4.897952022E0
1.290240629E1,3.221038145E-1,-1.375305613E0,4.870162874E0,5.070868053E0
1.291239629E1,4.104836020E-1,-1.530260190E0,4.621751518E0,4.885773238E0
1.292238629E1,4.503202437E-1,-1.496417676E0,3.938816611E0,4.237491059E0
