"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.345232916E-1,4.525660130E-1,-1.477787825E-1,-7.535423756E-1,8.913364553E-1
6.445132918E-1,4.418276015E-1,-1.997867691E-1,-8.358565539E-1,9.663242526E-1
6.545032917E-1,1.507742563E-1,-2.765287884E-1,-7.450025171E-1,8.088447303E-1
6.644932916E-1,-1.773571604E-1,-1.012899463E-1,-7.464953113E-1,7.739318221E-1
6.744832916E-1,-5.331789440E-1,2.378179002E-1,-9.583364260E-1,1.122161239E0
6.844742917E-1,-1.025995435E0,5.189676518E-1,-1.173628567E0,1.642984501E0
6.944642917E-1,-1.693079126E0,8.326082063E-1,-1.642662386E0,2.501618090E0
7.044542916E-1,-2.303994463E0,1.209973764E0,-2.224182601E0,3.423363147E0
7.144442918E-1,-2.750619705E0,1.495029547E0,-2.566765704E0,4.048371066E0
7.244352917E-1,-2.928453999E0,1.619006306E0,-2.755590423E0,4.334778290E0
7.344252917E-1,-3.063906211E0,1.450184472E0,-2.992259985E0,4.521523647E0
7.444152916E-1,-3.020047708E0,1.038278024E0,-3.250882334E0,4.557076405E0
7.544052918E-1,-2.538005881E0,6.671417975E-1,-3.128120041E0,4.083097724E0
7.643952917E-1,-1.723323557E0,3.484798368E-1,-2.645986120E0,3.176873436E0
7.743862916E-1,-7.243291014E-1,5.164053654E-1,-2.168127683E0,2.343524013E0
7.843762916E-1,1.002619144E-1,8.639154415E-1,-2.253060245E0,2.415094783E0
7.943662917E-1,1.730503938E-1,1.006673531E0,-2.595356249E0,2.789123894E0
8.043562917E-1,-5.843005657E-2,1.004519489E0,-2.578736708E0,2.768096184E0
8.143472916E-1,-4.981444743E-1,9.936990707E-1,-2.576534647E0,2.806085627E0
8.243372918E-1,-1.161385083E0,9.923646630E-1,-2.891237056E0,3.269993065E0
8.343272917E-1,-1.619816730E0,1.118815087E0,-3.123669140E0,3.692270621E0
8.443172916E-1,-1.848720605E0,1.227574102E0,-3.194322217E0,3.889524453E0
8.543072916E-1,-1.983860283E0,1.067699093E0,-2.873591328E0,3.651466842E0
8.642982917E-1,-1.762829685E0,8.432832487E-1,-2.242172729E0,2.974228250E0
8.742882917E-1,-1.254716585E0,6.581147929E-1,-1.594002442E0,2.132667948E0
8.842782916E-1,-4.252571771E-1,3.411479766E-1,-7.357089525E-1,9.156927822E-1
8.942682918E-1,1.991766304E-1,8.801257323E-2,3.590108550E-1,4.198884818E-1
9.042592917E-1,4.357540986E-1,-4.880966464E-2,1.169172989E0,1.248691113E0
9.142492916E-1,4.735502082E-1,-1.499067944E-1,1.612492508E0,1.687262260E0
9.242392916E-1,4.280293420E-1,-2.420527827E-1,2.329067032E0,2.380410029E0
9.342292917E-1,3.818983188E-1,-3.310920082E-1,3.085720126E0,3.126841368E0
9.442192917E-1,3.508326468E-1,-3.979078126E-1,3.354290927E0,3.395980241E0
9.542102916E-1,4.352051912E-1,-3.462144793E-1,3.434848602E0,3.479576546E0
9.642002918E-1,5.758798443E-1,-2.034480945E-1,3.476945046E0,3.530180672E0
9.741902917E-1,6.420165311E-1,-1.086644730E-1,3.383882516E0,3.445961996E0
9.841802916E-1,5.689000230E-1,-6.846663779E-2,3.292619759E0,3.342107089E0
9.941712916E-1,4.511024550E-1,-5.099548632E-2,3.226113528E0,3.257898473E0
1.004161292E0,3.005457151E-1,-1.271760816E-1,2.854029468E0,2.872626966E0
1.014151292E0,2.086065812E-1,-1.848185000E-1,2.654912480E0,2.669500863E0
1.024141292E0,4.011248410E-1,-1.743525321E-1,2.634229708E0,2.670293261E0
1.034131292E0,8.047900048E-1,-9.160083588E-2,2.650629394E0,2.771626571E0
1.044122292E0,1.236315982E0,-8.149771518E-2,2.655499540E0,2.930323684E0
1.054112292E0,1.654477563E0,-1.126056790E-1,2.630941234E0,3.109956241E0
1.064102292E0,2.126235307E0,-1.350831800E-1,2.689526242E0,3.431133261E0
1.074092292E0,2.338126415E0,-1.020097203E-1,2.450407866E0,3.388471606E0
1.084083292E0,2.096095834E0,1.240406401E-2,2.092437816E0,2.961767651E0
1.094073292E0,1.621749820E0,2.005713375E-1,1.820276240E0,2.446161672E0
1.104063292E0,9.605612916E-1,4.887214670E-1,1.460013496E0,1.814708262E0
1.114053292E0,1.932086697E-1,7.862467298E-1,1.020163715E0,1.302400674E0
1.124043292E0,-4.844500029E-1,1.034120872E0,7.626172543E-1,1.373201682E0
1.134034292E0,-9.713879961E-1,1.231585438E0,7.314305449E-1,1.730718918E0
1.144024292E0,-1.306402170E0,1.226542507E0,3.901057631E-1,1.833923569E0
1.154014292E0,-1.474022840E0,1.085119483E0,-1.286171097E-1,1.834876014E0
1.164004292E0,-1.546593218E0,8.228749312E-1,-1.013909533E0,2.024126052E0
1.173994292E0,-1.456824424E0,5.231652948E-1,-2.060563474E0,2.577200256E0
1.183985292E0,-1.242734470E0,4.573377065E-1,-2.627414778E0,2.942253415E0
1.193975292E0,-1.245546689E0,3.768308294E-1,-3.043516093E0,3.310042029E0
1.203965292E0,-1.062209873E0,2.577303556E-1,-3.115898775E0,3.302050867E0
1.213955292E0,-8.561259270E-1,2.204087475E-1,-2.703968865E0,2.844816205E0
1.223946292E0,-4.552232802E-1,3.483886568E-1,-2.246032476E0,2.318030366E0
1.233936292E0,-1.002315089E-1,6.495410205E-1,-1.925324392E0,2.034409966E0
1.243926292E0,-3.220237076E-2,1.098705124E0,-1.815993154E0,2.122739051E0
1.253916292E0,2.963836670E-2,1.488711630E0,-1.847528942E0,2.372868294E0
1.263906292E0,4.858451486E-3,1.762632780E0,-1.946918744E0,2.626288354E0
1.273897292E0,-1.541524851E-1,1.877289954E0,-2.346822102E0,3.009244845E0
1.283887292E0,-3.149538392E-1,1.788977264E0,-2.912315099E0,3.432377427E0
1.293877292E0,-5.317294192E-1,1.560516608E0,-3.360569667E0,3.743177360E0
1.303867208E0,-4.588567400E-1,1.109199121E0,-3.879907082E0,4.061348442E0
1.313858208E0,-1.880897248E-1,8.102258688E-1,-4.057490530E0,4.141868311E0
